"var","min","max","nunique","nulls"
"numero_de_cliente",249221109,1598518152,169481,0
"foto_mes",202101,202106,6,0
"active_quarter",0,1,2,0
"cliente_vip",0,1,2,0
"internet",0,4,5,0
"cliente_edad",18,105,86,0
"cliente_antiguedad",1,378,331,0
"mrentabilidad",-447330.64,2832072.91,601230,0
"mrentabilidad_annual",-1487712.49,4532265.92,911216,0
"mcomisiones",-134235.24,1167083.11,343248,0
"mactivos_margen",-437925.21,381076.48,512494,0
"mpasivos_margen",-103791.29,2414341.23,369522,0
"cproductos",3,17,15,0
"tcuentas",1,2,2,0
"ccuenta_corriente",1,3,3,0
"mcuenta_corriente_adicional",-1990016.09,6581942.16,427,0
"mcuenta_corriente",-2065768.41,29321773.35,329325,0
"ccaja_ahorro",2,10,9,0
"mcaja_ahorro",-15048.51,40285485.23,846337,0
"mcaja_ahorro_adicional",-37441.05,5058863.11,17772,0
"mcaja_ahorro_dolares",-25470.15,93883943.48,223409,0
"cdescubierto_preacordado",0,1,2,0
"mcuentas_saldo",-25118916.54,372957539.6,925080,0
"ctarjeta_debito",0,25,14,0
"ctarjeta_debito_transacciones",0,220,159,0
"mautoservicio",0,1049277.96,556774,0
"ctarjeta_visa",0,3,4,0
"ctarjeta_visa_transacciones",0,596,250,0
"mtarjeta_visa_consumo",0,4872732.82,733671,0
"ctarjeta_master",0,2,3,0
"ctarjeta_master_transacciones",0,334,165,0
"mtarjeta_master_consumo",0,5252701.87,268792,0
"cprestamos_personales",0,398,227,0
"mprestamos_personales",0,5506583.96,175017,0
"cprestamos_prendarios",0,22,23,0
"mprestamos_prendarios",0,23460000,8207,0
"cprestamos_hipotecarios",0,23,24,0
"mprestamos_hipotecarios",0,23794171.18,9630,0
"cplazo_fijo",0,103,55,0
"mplazo_fijo_dolares",0,90907500,28282,0
"mplazo_fijo_pesos",0,47924270.47,3187,0
"cinversion1",0,16,15,0
"minversion1_pesos",0,69494621.47,32412,0
"minversion1_dolares",0,44677704.32,3574,0
"cinversion2",0,77,65,0
"minversion2",0,379246783.74,25368,0
"cseguro_vida",0,3,4,0
"cseguro_auto",0,6,6,0
"cseguro_vivienda",0,5,6,0
"cseguro_accidentes_personales",0,4,4,0
"ccaja_seguridad",0,6,7,0
"cpayroll_trx",0,293,75,0
"mpayroll",0,44295403.01,393084,0
"mpayroll2",0,1682828,839,0
"cpayroll2_trx",0,6,7,0
"ccuenta_debitos_automaticos",0,310,75,0
"mcuenta_debitos_automaticos",0,93231740.76,237478,0
"ctarjeta_visa_debitos_automaticos",0,57,55,0
"mttarjeta_visa_debitos_automaticos",0,1916174.65,387938,0
"ctarjeta_master_debitos_automaticos",0,31,30,0
"mttarjeta_master_debitos_automaticos",0,857987.8,88061,0
"cpagodeservicios",0,60,32,0
"mpagodeservicios",0,2478633.83,6720,0
"cpagomiscuentas",0,323,115,0
"mpagomiscuentas",0,933611338.7,392137,0
"ccajeros_propios_descuentos",0,20,19,0
"mcajeros_propios_descuentos",0,36279.03,15662,0
"ctarjeta_visa_descuentos",0,23,19,0
"mtarjeta_visa_descuentos",0,178072.66,21684,16998
"ctarjeta_master_descuentos",0,31,27,0
"mtarjeta_master_descuentos",0,104532.18,7631,23521
"ccomisiones_mantenimiento",0,43,24,0
"mcomisiones_mantenimiento",-15494.48,14167.75,2011,0
"ccomisiones_otras",0,450,244,0
"mcomisiones_otras",-134235.24,1167083.11,343988,0
"cforex",0,22,17,0
"cforex_buy",0,13,12,0
"mforex_buy",0,91603.56,1331,0
"cforex_sell",0,22,17,0
"mforex_sell",0,91603.56,1403,0
"ctransferencias_recibidas",0,961,323,0
"mtransferencias_recibidas",0,938923768.66,364026,0
"ctransferencias_emitidas",0,272,159,0
"mtransferencias_emitidas",0,189927468,225795,0
"cextraccion_autoservicio",0,340,110,0
"mextraccion_autoservicio",0,3519000,6410,0
"ccheques_depositados",0,402,82,0
"mcheques_depositados",0,62221756.37,23026,0
"ccheques_emitidos",0,153,90,0
"mcheques_emitidos",0,46917026.49,16665,0
"ccheques_depositados_rechazados",0,22,11,0
"mcheques_depositados_rechazados",0,4089887.93,1187,0
"ccheques_emitidos_rechazados",0,54,19,0
"mcheques_emitidos_rechazados",0,5960435,1042,0
"tcallcenter",0,1,2,0
"ccallcenter_transacciones",0,131,75,0
"thomebanking",0,1,2,0
"chomebanking_transacciones",0,6671,1094,0
"ccajas_transacciones",0,1,2,0
"ccajas_consultas",0,70,31,0
"ccajas_depositos",0,48,27,0
"ccajas_extracciones",0,17,17,0
"ccajas_otras",0,138,44,0
"catm_trx",0,340,108,0
"matm",0,3519000,5613,0
"catm_trx_other",0,65,53,0
"matm_other",0,1716783.93,1506,0
"ctrx_quarter",0,2746,1238,0
"tmobile_app",0,1,2,0
"cmobile_app_trx",0,1,2,0
"Master_delinquency",0,1,2,101319
"Master_status",0,9,4,101319
"Master_mfinanciacion_limite",0,350302669.59,708,101319
"Master_Fvencimiento",-2914237,5206,446,101319
"Master_Finiciomora",-1,268,101,977048
"Master_msaldototal",-1198282.68,5315734.29,310657,101319
"Master_msaldopesos",-1198282.68,5315734.29,308104,101319
"Master_msaldodolares",-656164.21,1699543.44,18253,101319
"Master_mconsumospesos",-108002.98,5171670.94,193859,586300
"Master_mconsumosdolares",0,17642.09,7139,586300
"Master_mlimitecompra",985.32,10783342.08,567,101319
"Master_madelantopesos",0,99784,151,586300
"Master_madelantodolares",0,1056,48,586300
"Master_fultimo_cierre",-3,3388,57,101770
"Master_mpagado",0,5315734.29,37329,101319
"Master_mpagospesos",-3717003.76,351481.16,249454,586300
"Master_mpagosdolares",0,26434.09,6026,586300
"Master_fechaalta",1,7693,7385,101319
"Master_mconsumototal",-108002.98,5171670.94,193859,586300
"Master_cconsumos",0,199,121,586300
"Master_cadelantosefectivo",0,26,18,586300
"Master_mpagominimo",0,1820812.71,7952,101319
"Visa_delinquency",0,1,2,48838
"Visa_status",0,9,4,48838
"Visa_mfinanciacion_limite",0,339068148.15,676,48838
